ev_id,current_soc,target_soc,max_charge_rate_kw,arrival_time,deadline,latitude,longitude
EV001,21,99,50,2026-08-19T08:23:00,2026-08-19T09:05:00,17.444384,78.408953
EV002,35,97,22,2026-08-19T08:26:00,2026-08-19T10:11:00,17.429943,78.389485
EV003,9,94,50,2026-08-19T10:05:00,2026-08-19T11:01:00,17.453584,78.397282
EV004,24,96,22,2026-08-19T08:58:00,2026-08-19T10:30:00,17.439574,78.336174
EV005,37,75,50,2026-08-19T10:04:00,2026-08-19T11:47:00,17.447861,78.346897
EV006,34,78,150,2026-08-19T10:28:00,2026-08-19T11:15:00,17.462747,78.401692
EV007,26,86,150,2026-08-19T08:33:00,2026-08-19T09:08:00,17.438609,78.394516
EV008,33,80,60,2026-08-19T09:54:00,2026-08-19T11:52:00,17.427914,78.353884
EV009,25,90,50,2026-08-19T08:37:00,2026-08-19T09:53:00,17.462745,78.403679
EV010,11,99,120,2026-08-19T09:24:00,2026-08-19T10:11:00,17.444532,78.378472
EV011,29,97,50,2026-08-19T09:38:00,2026-08-19T11:04:00,17.447456,78.339572
EV012,9,89,50,2026-08-19T08:08:00,2026-08-19T09:57:00,17.430735,78.373899
EV013,9,82,60,2026-08-19T10:58:00,2026-08-19T12:57:00,17.429249,78.403631
EV014,14,93,150,2026-08-19T09:46:00,2026-08-19T11:25:00,17.461582,78.405003
EV015,24,83,60,2026-08-19T09:51:00,2026-08-19T11:02:00,17.467088,78.365736
EV016,13,98,120,2026-08-19T09:07:00,2026-08-19T10:14:00,17.469763,78.332689
EV017,28,83,22,2026-08-19T10:42:00,2026-08-19T11:58:00,17.464251,78.4079
EV018,31,97,60,2026-08-19T09:47:00,2026-08-19T11:18:00,17.457854,78.352449
EV019,19,76,22,2026-08-19T09:40:00,2026-08-19T11:32:00,17.439905,78.355277
EV020,23,76,22,2026-08-19T08:18:00,2026-08-19T09:16:00,17.463056,78.399128
